theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
46844.0,11144.0,-64559.0,394.0,46844.0,11144.0,-64559.0,240.413,-16.972,-882.13,50.361,124.76
47343.0,11528.0,-64331.0,394.0,47343.0,11528.0,-64331.0,245.003,4.881,-858.71,47.488,119.31
47810.0,11903.0,-64090.0,394.0,47810.0,11903.0,-64090.0,255.12,20.967,-843.27,43.734,113.07
48241.0,12269.0,-63835.0,394.0,48241.0,12269.0,-63835.0,265.321,29.485,-831.76,39.98,106.36
48633.0,12627.0,-63567.0,394.0,48633.0,12627.0,-63567.0,276.351,31.593,-825.76,36.154,98.66
48981.0,12973.0,-63288.0,394.0,48981.0,12973.0,-63288.0,296.874,25.522,-826.11,32.086,90.34
49283.0,13304.0,-63003.0,394.0,49283.0,13304.0,-63003.0,326.358,19.087,-829.71,27.745,81.4
49542.0,13617.0,-62715.0,364.0,49542.0,13617.0,-62715.0,355.93,11.382,-834.76,23.342,72.58
49757.0,13913.0,-62427.0,364.0,49757.0,13913.0,-62427.0,386.076,-5.744,-843.88,19.658,64.03
49933.0,14197.0,-62142.0,364.0,49933.0,14197.0,-62142.0,415.451,-30.381,-859.82,17.306,56.28
50073.0,14472.0,-61864.0,364.0,50073.0,14472.0,-61864.0,440.219,-56.088,-874.79,15.901,49.33
50185.0,14739.0,-61595.0,364.0,50185.0,14739.0,-61595.0,467.329,-78.493,-883.76,15.458,43.39
50276.0,15002.0,-61337.0,364.0,50276.0,15002.0,-61337.0,493.878,-98.553,-888.61,15.779,38.71
50352.0,15260.0,-61092.0,364.0,50352.0,15260.0,-61092.0,515.301,-119.284,-892.01,16.825,35.05
50418.0,15522.0,-60862.0,364.0,50418.0,15522.0,-60862.0,530.06,-137.831,-891.31,19.119,32.59
50478.0,15784.0,-60646.0,362.0,50478.0,15784.0,-60646.0,533.289,-153.963,-883.74,21.387,30.9
50537.0,16047.0,-60446.0,362.0,50537.0,16047.0,-60446.0,533.032,-162.016,-874.88,23.626,30.13
50599.0,16302.0,-60263.0,362.0,50599.0,16302.0,-60263.0,535.034,-157.705,-864.9,24.812,29.78
50664.0,16545.0,-60096.0,362.0,50664.0,16545.0,-60096.0,532.801,-147.816,-850.17,24.893,29.62
50731.0,16771.0,-59942.0,362.0,50731.0,16771.0,-59942.0,524.541,-138.039,-833.62,23.908,29.42
50797.0,16977.0,-59800.0,362.0,50797.0,16977.0,-59800.0,517.14,-130.256,-820.25,21.817,28.61
