theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-1405.0,-85386.0,116801.0,409.0,-1405.0,-85386.0,116801.0,-0.524,1016.46,-79.67,-0.207,-0.47
-1404.0,-85387.0,116803.0,409.0,-1404.0,-85387.0,116803.0,-0.522,1016.435,-79.67,-0.255,-0.41
-1404.0,-85390.0,116806.0,409.0,-1404.0,-85390.0,116806.0,-0.532,1016.347,-79.67,-0.359,-0.49
-1403.0,-85391.0,116809.0,409.0,-1403.0,-85391.0,116809.0,-0.563,1016.255,-79.67,-0.189,-0.63
-1403.0,-85393.0,116812.0,409.0,-1403.0,-85393.0,116812.0,-0.517,1016.043,-82.06,-0.228,-0.55
-1403.0,-85392.0,116815.0,409.0,-1403.0,-85392.0,116815.0,-0.454,1015.886,-84.39,0.036,-0.61
-1403.0,-85393.0,116818.0,409.0,-1403.0,-85393.0,116818.0,-0.533,1015.985,-81.42,0.021,-0.54
-1402.0,-85393.0,116820.0,409.0,-1402.0,-85393.0,116820.0,-2.946,1016.174,-78.82,0.149,-0.39
-1403.0,-85391.0,116822.0,409.0,-1403.0,-85391.0,116822.0,-5.181,1016.335,-79.62,0.421,-0.49
-1403.0,-85390.0,116824.0,409.0,-1403.0,-85390.0,116824.0,-4.531,1018.902,-79.92,0.441,-0.42
-1402.0,-85385.0,116830.0,409.0,-1402.0,-85385.0,116830.0,-4.413,1021.179,-79.82,0.638,-0.64
-1401.0,-85383.0,116833.0,409.0,-1401.0,-85383.0,116833.0,-4.509,1018.878,-77.38,0.572,-0.54
-1401.0,-85381.0,116836.0,409.0,-1401.0,-85381.0,116836.0,-4.645,1017.035,-75.02,0.622,-0.61
-1401.0,-85380.0,116839.0,409.0,-1401.0,-85380.0,116839.0,-4.611,1017.658,-75.6,0.563,-0.54
-1400.0,-85379.0,116842.0,409.0,-1400.0,-85379.0,116842.0,-4.588,1017.959,-75.92,0.427,-0.53
-1400.0,-85377.0,116845.0,409.0,-1400.0,-85377.0,116845.0,-4.55,1017.675,-75.75,0.513,-0.58
-1399.0,-85377.0,116848.0,409.0,-1399.0,-85377.0,116848.0,-4.504,1017.538,-75.79,0.286,-0.57
-1399.0,-85377.0,116850.0,409.0,-1399.0,-85377.0,116850.0,-4.484,1017.276,-75.78,0.267,-0.56
-1399.0,-85378.0,116853.0,409.0,-1399.0,-85378.0,116853.0,-4.474,1017.018,-75.8,0.124,-0.56
-1399.0,-85379.0,116856.0,409.0,-1399.0,-85379.0,116856.0,-4.481,1016.746,-75.78,-0.0,-0.56
-1399.0,-85381.0,116859.0,409.0,-1399.0,-85381.0,116859.0,-6.886,1014.192,-75.78,-0.063,-0.56
-1400.0,-85382.0,116862.0,409.0,-1400.0,-85382.0,116862.0,-9.228,1014.081,-75.83,-0.016,-0.57
-1401.0,-85384.0,116865.0,409.0,-1401.0,-85384.0,116865.0,-6.355,1016.868,-73.44,-0.036,-0.56
-1401.0,-85386.0,116868.0,409.0,-1401.0,-85386.0,116868.0,-3.828,1016.573,-71.05,0.032,-0.56
-1402.0,-85387.0,116870.0,409.0,-1402.0,-85387.0,116870.0,-6.953,1016.106,-71.69,0.149,-0.42
-1403.0,-85388.0,116872.0,409.0,-1403.0,-85388.0,116872.0,-9.533,1016.396,-72.05,0.067,-0.47
-1403.0,-85389.0,116874.0,409.0,-1403.0,-85389.0,116874.0,-8.726,1016.395,-74.26,0.149,-0.41
-1403.0,-85390.0,116877.0,409.0,-1403.0,-85390.0,116877.0,-8.376,1018.87,-76.68,0.071,-0.49
-1403.0,-85390.0,116880.0,409.0,-1403.0,-85390.0,116880.0,-8.6,1019.015,-76.08,0.205,-0.63
